categoria,probabilidade,recomendacoes,consumo_estimado_kwh,custo_estimado_mensal,alerta_consumo_alto,id_cliente
Ineficiente,0.74,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",5327.26,3995.45,True,22
Ineficiente,0.66,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",19518.0,14638.5,True,23
Ineficiente,0.71,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",21089.76,15817.32,True,24
Eficiente,0.94,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",4561.14,3420.85,False,25
Eficiente,0.52,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",607.23,455.42,False,26
Ineficiente,0.69,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",8893.0,6669.75,True,27
Ineficiente,0.85,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",6216.96,4662.72,True,28
Moderado,0.63,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",2712.16,2034.12,False,29
Moderado,0.59,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",7065.64,5299.23,False,30
Eficiente,0.62,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",850.58,637.93,False,31
Eficiente,0.93,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",935.04,701.28,False,32
Eficiente,0.73,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",809.6,607.2,False,33
Eficiente,0.54,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1925.44,1444.08,False,34
Eficiente,0.73,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",1451.58,1088.68,False,35
Eficiente,0.44,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Iluminacao': Troque lâmpadas convencionais por LED, que consomem bem menos.""]",5535.36,4151.52,False,36
Moderado,0.75,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2658.27,1993.7,False,37
Moderado,0.5,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",2727.48,2045.61,False,38
Moderado,0.76,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",521.0,390.75,False,39
Eficiente,0.85,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",773.57,580.18,False,40
Eficiente,0.7,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",226.26,169.7,False,41
Ineficiente,0.62,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",8540.17,6405.13,True,42
Eficiente,0.75,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",1243.46,932.59,False,43
Moderado,0.57,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",6169.28,4626.96,False,44
Eficiente,0.9,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",2366.06,1774.54,False,45
Moderado,0.55,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",4820.67,3615.5,False,46
Ineficiente,0.79,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",3985.52,2989.14,True,47
Moderado,0.75,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",1892.8,1419.6,False,48
Eficiente,0.86,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Iluminacao': Troque lâmpadas convencionais por LED, que consomem bem menos.""]",1467.6,1100.7,False,49
Ineficiente,0.51,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2889.3,2166.98,True,50
Moderado,0.55,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",8016.24,6012.18,False,51
Moderado,0.82,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",2696.62,2022.47,False,52
Moderado,0.57,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",16353.36,12265.02,False,53
Moderado,0.5,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",3748.8,2811.6,False,54
Ineficiente,0.82,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",36423.21,27317.41,True,55
Eficiente,0.64,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Entretenimento': Evite deixar TV e videogame em modo standby por longos períodos.""]",123.83,92.87,False,56
Moderado,0.56,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Iluminacao': Troque lâmpadas convencionais por LED, que consomem bem menos.""]",6047.3,4535.48,False,57
Eficiente,0.49,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",1099.32,824.49,False,58
Moderado,0.59,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1140.35,855.26,False,59
Moderado,0.4,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Iluminacao': Troque lâmpadas convencionais por LED, que consomem bem menos.""]",3971.2,2978.4,False,60
Moderado,0.59,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",3847.38,2885.53,False,61
Ineficiente,0.73,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",31668.84,23751.63,True,62
Eficiente,0.7,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",1908.83,1431.62,False,63
Moderado,0.59,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",3084.54,2313.4,False,64
Moderado,0.82,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",1024.64,768.48,False,65
Ineficiente,0.66,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Iluminacao': Troque lâmpadas convencionais por LED, que consomem bem menos.""]",8959.04,6719.28,True,66
Eficiente,0.54,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",770.26,577.7,False,67
Moderado,0.79,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",1665.8,1249.35,False,68
Eficiente,0.95,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",235.03,176.27,False,69
Ineficiente,0.81,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",4696.86,3522.65,True,70
Eficiente,0.54,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1084.92,813.69,False,71
Moderado,0.8,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",1831.01,1373.26,False,72
Ineficiente,0.81,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",4004.04,3003.03,True,73
Ineficiente,0.78,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2301.63,1726.22,True,74
Ineficiente,0.63,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",9550.92,7163.19,True,75
Ineficiente,0.59,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",4261.59,3196.19,True,76
Eficiente,0.71,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",326.16,244.62,False,77
Ineficiente,0.56,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",14359.15,10769.36,True,78
Ineficiente,0.58,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",6255.3,4691.47,True,79
Moderado,0.59,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",22342.56,16756.92,False,80
Eficiente,0.82,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",1132.6,849.45,False,81
Moderado,0.78,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2830.5,2122.88,False,82
Moderado,0.77,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2644.52,1983.39,False,83
Eficiente,0.48,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",1586.58,1189.93,False,84
Moderado,0.6,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",16837.92,12628.44,False,85
Moderado,0.56,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",1587.39,1190.54,False,86
Moderado,0.54,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",4749.35,3562.01,False,87
Eficiente,0.57,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1922.25,1441.69,False,88
Moderado,0.61,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",9209.68,6907.26,False,89
Moderado,0.7,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2129.62,1597.22,False,90
Ineficiente,0.65,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",18680.68,14010.51,True,91
Moderado,0.56,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",7050.74,5288.06,False,92
Moderado,0.56,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",9158.01,6868.51,False,93
Moderado,0.55,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",466.32,349.74,False,94
Eficiente,0.81,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",161.32,120.99,False,95
Moderado,0.83,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2128.14,1596.1,False,96
Moderado,0.7,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1414.21,1060.65,False,97
Moderado,0.66,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",983.29,737.47,False,98
Eficiente,0.75,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Iluminacao': Troque lâmpadas convencionais por LED, que consomem bem menos.""]",3557.24,2667.93,False,99
Ineficiente,0.94,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",6446.76,4835.07,True,100
Moderado,0.77,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1281.69,961.27,False,101
Eficiente,0.75,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",4406.4,3304.8,False,102
Eficiente,0.73,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",3775.96,2831.97,False,103
Moderado,0.55,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",15118.5,11338.88,False,104
Eficiente,0.76,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",8332.56,6249.42,False,105
Ineficiente,0.58,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",5215.6,3911.7,True,106
Eficiente,0.64,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",424.53,318.4,False,107
